,ID,town,districts,street,Գին,Գին (Ք.Մ.),Սանհանգույց,Շինության տիպը,Առաստաղի բարձրություն,Վիճակը,Մակերես,Սենյակ,Հարկ/Հարկանի
0,154013,Երևան, Կենտրոն, Խորենացու փող,"112,000","2,333",1,Պանելային,2.8 Մ,Լավ,48 Ք.Մ.,2,3/9
1,154286,Երևան, Արաբկիր, Մալխասյանց փող,"166,000","2,156",1,Մոնոլիտ,3.2 Մ,Զրոյական,77 Ք.Մ.,2,12/14
2,154285,Երևան, Կենտրոն, Ռոստոմի փող,"245,000","3,182",1,Մոնոլիտ,3 Մ,Վերանորոգված,77 Ք.Մ.,3,8/15
3,154289,Երևան, Արաբկիր, Վ.Փափազյան փող,"130,000","2,500",1,Քարե,2.8 Մ,Վերանորոգված,52 Ք.Մ.,3,4/5
4,154598,Երևան, Կենտրոն, Տիգրան Մեծի պող,"255,000","3,110",2,Քարե,3 Մ,Վերանորոգված,82 Ք.Մ.,4,2/5
5,154284,Երևան, Կենտրոն, Նալբանդյան փող,"225,000","3,000",1,Քարե,3 Մ,Վերանորոգված,75 Ք.Մ.,3,1/3
6,154132,Երևան, Ավան, Խուդյակովի փող,"176,000","1,257",2,Մոնոլիտ,3 Մ,Զրոյական,140 Ք.Մ.,4,2/14
7,153997,Երևան, Կենտրոն, Պուշկինի փող,"296,000","3,116",1,Պանելային,2.8 Մ,Վերանորոգված,95 Ք.Մ.,4,3/10
8,154031,Երևան, Կենտրոն, Թումանյան փող,"655,000","6,823",3,Մոնոլիտ,3 Մ,Վերանորոգված,96 Ք.Մ.,4,6/11
9,154069,Երևան, Արաբկիր, Կոմիտասի պող,"147,000","2,450",1,Քարե,2.8 Մ,Վերանորոգված,60 Ք.Մ.,2,2/5
10,154792,Երևան, Արաբկիր, Ադոնց փող,"280,000","2,887",2,Մոնոլիտ,3 Մ,Վերանորոգված,97 Ք.Մ.,3,4/8
11,154064,Երևան, Կենտրոն, Տիգրան Մեծի պող,"160,000","3,200",1,Քարե,2.8 Մ,Վերանորոգված,50 Ք.Մ.,2,5/5
12,154770,Երևան, Կենտրոն, Հյուսիսային պող,"1,150,000","6,765",3,Մոնոլիտ,3.2 Մ,Վերանորոգված,170 Ք.Մ.,4,5/10
13,153940,Երևան, Կենտրոն, Բաղրամյան պող(Կենտրոն),"238,000","3,216",1,Քարե,3.2 Մ,Վերանորոգված,74 Ք.Մ.,3,2/4
14,154440,Երևան, Կենտրոն, Զաքյան փող,"230,000","3,710",2,Մոնոլիտ,3 Մ,Վերանորոգված,62 Ք.Մ.,2,5/6
15,154088,Երևան, Կենտրոն, ՆարԴոսի փող,"135,000","3,214",1,Պանելային,2.8 Մ,Վերանորոգված,42 Ք.Մ.,2,6/9
16,154067,Երևան, Քանաքեռ-Զեյթուն, Դավիթ Անհաղթի փող,"204,000","1,619",3,Մոնոլիտ,3 Մ,Զրոյական,126 Ք.Մ.,4,5/15
17,154398,Երևան, Կենտրոն, Մ․ Մելքոնյան փող,"240,000","2,069",2,Մոնոլիտ,3 Մ,Վերանորոգված,116 Ք.Մ.,5,16/17
18,154304,Երևան, Մալաթիա-Սեբաստիա, Րաֆֆու փող,"125,000","1,506",1,Պանելային,2.8 Մ,Լավ,83 Ք.Մ.,3,2/14
